Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
1013,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1014,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1015,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1018,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1021,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1022,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1023,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
1024,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1026,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,NA
1027,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1028,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1029,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1031,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1032,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1033,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1034,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1111,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1136,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1145,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1163,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1183,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1241,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1258,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
1265,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
