case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
8175,0.340115188,0.363285481,0.416903935,0.370077471,0.366672052,0.677595796,0.32101623,0.416012483,0.366934347,0.416474259,0.826308378,0.243119127,0.356569277,0.186136234,0.387274375,0.340115188,0.399987905,0.81906793,0.383885529,0.430742904,NA
8176,0.254660533,0.275835378,0.373298672,0.282118021,0.278963746,0.483044369,0.237512233,0.325478883,0.250714901,0.287549532,0.786733507,0.254190134,0.269656305,0.157487199,0.289062146,0.254660533,0.353014859,0.713606696,0.294994303,0.339695049,NA
8177,0.184114925,0.198484598,0.161503194,0.20274203,0.200604854,0.455415101,0.172450365,0.232066893,0.339173099,0.144221451,0.464633446,0.260609834,0.194294782,0.158316333,0.129395963,0.184114925,0.234272155,0.583929622,0.211460147,0.241663777,NA
8178,0.283020981,0.306965497,0.343250392,0.310055573,0.310055573,0.672945802,0.265969312,0.36584267,0.323594859,0.345335205,0.838667224,0.205437798,0.303896942,0.156917337,0.323898503,0.294820589,0.327545316,0.753627831,0.335547241,0.376314026,NA
8180,0.047149753,0.047149753,0.052792849,0.052807918,0.054538907,0.099453228,0.043466101,0.06609607,0.106948121,0.041962653,0.192294988,0.055793879,0.051961999,0.046186339,0.031115782,0.045641964,0.048525594,0.233617329,0.054538907,0.068231254,NA
8181,0.25434265,0.27824911,0.374081668,0.285428746,0.281819141,0.710275837,0.235307524,0.336082233,0.378630728,0.294090128,0.785228204,0.256297361,0.271226617,0.206455769,0.191806736,0.25434265,0.29244863,0.795226381,0.300268588,0.353116014,NA
8182,0.373716201,0.346201921,0.423580227,0.39570673,0.38308277,0.766073167,0.358316426,0.424600259,0.521917762,0.517249565,0.820020675,0.447703307,0.389376213,0.400003859,0.306827926,0.340217498,0.560963162,0.753626638,0.418127339,0.440891451,NA
8183,0.402612875,0.42729894,0.514379487,0.434424889,0.430858335,0.690300471,0.381834314,0.481276181,0.57647736,0.571313774,0.724507923,0.601280331,0.420203036,0.583893883,0.343642601,0.402612875,0.590741631,0.77822632,0.448755531,0.4957975,NA
8184,0.45208278,0.45208278,0.484240572,0.475185841,0.48181066,0.72269323,0.435700314,0.521612297,0.556351764,0.498197996,0.753046783,0.553254727,0.471876558,0.385416859,0.385109326,0.445515288,0.589767158,0.831364412,0.48181066,0.528232899,NA
8186,0.761532742,0.811530812,1.033846999,0.826155502,0.818824576,1.457366759,0.720186507,0.924733084,0.825769042,0.83780939,1.724406167,0.735564069,0.797055637,0.419902517,0.606818646,0.761532742,1.018113298,1.545436553,0.855846332,0.956237521,NA
8187,0.147823098,0.133397467,0.126010941,0.159915465,0.161706839,0.414225182,0.138068704,0.182490468,0.274906616,0.141506234,0.337132695,0.13205235,0.159915465,0.115907329,0.093166585,0.141258623,0.159852285,0.515641682,0.170907266,0.192601709,NA
8188,0.276217324,0.244227842,0.364512398,0.303573504,0.307665886,0.895791538,0.254506511,0.355851992,0.351309967,0.349485863,0.826040858,0.265608697,0.303573504,0.238020028,0.177122268,0.261570237,0.323142399,0.797512027,0.328839488,0.379738491,NA
8189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8190,0.147856527,0.129556801,0.163484675,0.163525885,0.165870251,0.25609673,0.135432084,0.193452598,0.281739579,0.125345563,0.335421553,0.244573512,0.163525885,0.144365928,0.090866401,0.139472608,0.189613901,0.516648665,0.177997019,0.207095249,NA
8191,0.436734682,0.407600351,0.468734698,0.459711476,0.463010241,0.709413701,0.417250372,0.499447085,0.527747777,0.537127848,0.709376321,0.428555826,0.459711476,0.38447717,0.349098574,0.423719602,0.515587055,0.821979227,0.479546933,0.51603456,NA
8195,0.523979684,0.523979684,0.812028727,0.566276209,0.578771949,0.867741474,0.495150486,0.657490169,0.443518587,0.663196144,1.3502207,0.469359444,0.560096489,0.364549022,0.489862804,0.512309185,0.689304825,1.195227425,0.578771949,0.671217478,NA
8198,0.166656689,0.14861601,0.246317956,0.181980077,0.184265201,0.345327508,0.154428629,0.211053209,0.170353473,0.216512404,0.671268309,0.114351729,0.181980077,0.102382496,0.167725926,0.15841419,0.206587403,0.551667162,0.196061568,0.224264355,NA
8199,0.497818319,0.520889923,0.779600376,0.538679235,0.544701156,0.850571041,0.453901459,0.64046469,0.435020829,0.577200044,1.391900356,0.515307871,0.520889923,0.338145696,0.459633753,0.492166327,0.683681745,1.155790622,0.575497478,0.647203209,NA
8202,0.331007462,0.346271884,0.432778586,0.357933711,0.361859475,0.622290176,0.301542914,0.422703522,0.383005617,0.519274602,0.673599092,0.564033556,0.346271884,0.592787351,0.269381793,0.327244765,0.500820205,0.679924318,0.381757145,0.426867383,NA
8213,0.424094412,0.424094412,0.498484204,0.450882636,0.458697471,0.822109497,0.405515316,0.507004247,0.496937033,0.511666205,0.855559984,0.327648862,0.447001647,0.255872388,0.43570809,0.416606107,0.49758873,0.921917981,0.458697471,0.515280118,NA
8222,0.428854477,0.399872637,0.460749406,0.451749191,0.455038941,0.702838121,0.409466161,0.491422554,0.519740676,0.528352423,0.707641367,0.42071297,0.451749191,0.376908925,0.341839977,0.415900836,0.507566157,0.817066478,0.471540933,0.508014002,NA
8223,0.114066997,0.100720378,0.129254981,0.125585444,0.127317468,0.31479861,0.104995248,0.147898608,0.237178363,0.110075831,0.430665928,0.112133802,0.125585444,0.098751598,0.056533042,0.107940346,0.124092311,0.432991496,0.13631768,0.158236674,NA
8224,0.452057694,0.422668213,0.484215278,0.475160584,0.478472033,0.721874203,0.432414575,0.514958797,0.543184629,0.5540763,0.712390013,0.443817985,0.475160584,0.399266352,0.363330181,0.438941825,0.531068208,0.831193719,0.495051852,0.531514407,NA
8225,0.171970554,0.171970554,0.188041995,0.186940244,0.191397407,0.426246794,0.161870587,0.219840538,0.459588332,0.196462475,0.466229484,0.307906938,0.184741819,0.283341882,0.11983626,0.167871872,0.267883676,0.545242861,0.191397407,0.224865186,NA
8226,0.26402495,0.26402495,0.311073132,0.285687509,0.292141421,0.721829688,0.249411778,0.333420523,0.349983507,0.230089201,1.051289425,0.332671054,0.282505113,0.121522255,0.265586025,0.258095119,0.449482395,0.803906768,0.292141421,0.340736409,NA
8236,0.107533072,0.094639248,0.122318517,0.118606597,0.112163072,0.197554797,0.100189671,0.134281465,0.191143397,0.081168804,0.34164835,0.16009534,0.115345713,0.103587722,0.055850291,0.091968548,0.134089448,0.402747954,0.13065351,0.143724504,NA
8238,0.542040889,0.542040889,0.59134447,0.572247173,0.580994821,1.295211385,0.520882784,0.634461058,0.775866473,0.597336645,1.13209308,0.639388731,0.567892314,0.394705304,0.483725719,0.533534157,0.732243481,1.048331442,0.580994821,0.643521012,NA
