case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
3883,0.191791879,0.208793424,0.170299393,0.213213156,0.213213156,0.568630552,0.183695747,0.246043999,0.47651501,0.239807544,0.493031849,0.25151961,0.210994812,0.331289058,0.138303002,0.206608989,0.238560548,0.577746383,0.229215838,0.258562825,NA
3884,0.180725517,0.200182337,0.205850999,0.205285051,0.205285051,0.531628092,0.17156416,0.243684198,0.467978108,0.199492205,0.440659549,0.366044145,0.202721721,0.311051939,0.131089295,0.197666875,0.264138956,0.560455054,0.223899463,0.258523282,NA
3885,0.108717664,0.104918576,0.09775195,0.123695712,0.123695712,0.318998551,0.097670834,0.13723834,0.193380369,0.089546287,0.454530258,0.161823755,0.122264007,0.095679516,0.083017704,0.107438066,0.151885248,0.4444379,0.129567159,0.148615845,NA
3886,0.482212299,0.472277464,0.531057807,0.51870061,0.51870061,0.853648006,0.452481278,0.548424434,0.673508409,0.667743614,0.819510326,0.650944391,0.515385883,0.589851112,0.446679676,0.478898735,0.687599681,0.848461144,0.531940165,0.57131723,NA
3893,0.350076069,0.346757689,0.425043579,0.387878368,0.405826128,0.846547181,0.333685664,0.427965466,0.491802431,0.525581017,0.97614727,0.407468472,0.387878368,0.309521451,0.436280633,0.366966232,0.580362805,0.870035537,0.395001573,0.446896088,NA
3897,0.405098614,0.441204015,0.563459549,0.450558098,0.450558098,1.08882643,0.387839758,0.519606591,0.51764709,0.461400953,0.930597334,0.412376143,0.4458648,0.360326209,0.267573531,0.436575842,0.455132182,1.000000887,0.484311846,0.545726666,NA
3917,0.409910555,0.398992089,0.487482042,0.45133331,0.45133331,0.986690377,0.377665561,0.48674347,0.557860787,0.585723749,1.006441626,0.486136283,0.447480578,0.371503989,0.455370944,0.406252488,0.638620253,0.922027959,0.46691049,0.515145079,NA
3918,0.339646715,0.366182519,0.450607782,0.372952981,0.372952981,0.559448751,0.32673515,0.42161444,0.374625923,0.330004081,0.687325685,0.593287522,0.369561335,0.341860633,0.291456139,0.362816818,0.516916796,0.737060645,0.39702911,0.43942412,NA
3920,0.475090999,0.501619118,0.517319293,0.508255564,0.508255564,0.853450983,0.461870155,0.554499266,0.695995858,0.611570198,0.816815899,0.656503878,0.504937558,0.595779408,0.416889932,0.498300535,0.657953735,0.835697417,0.531444926,0.57083004,NA
3923,0.351077947,0.369263793,0.453579511,0.372947908,0.365594853,0.640736715,0.30922793,0.422046394,0.438646086,0.520472943,0.69185671,0.578431756,0.380360184,0.57247252,0.282169226,0.365594853,0.524209174,0.710679981,0.395350223,0.425901527,NA
3924,0.341524001,0.331047583,0.449871169,0.38201179,0.38201179,0.99887492,0.310818091,0.417559575,0.466949183,0.42114631,1.107995407,0.391466764,0.378196279,0.247632974,0.271994727,0.338004984,0.531778524,0.892831097,0.397542842,0.446697562,NA
3928,0.337742714,0.326215362,0.459748394,0.361603918,0.373931626,0.863006256,0.296809326,0.416872412,0.440196731,0.551463135,0.929279752,0.437845141,0.361603918,0.445367298,0.341096251,0.326215362,0.52331003,0.790071393,0.386518977,0.425790244,NA
3932,0.592859395,0.632482034,0.706679514,0.63826853,0.632482034,1.323178464,0.549517732,0.691715042,0.940570541,0.72130178,1.145818385,0.822179449,0.63826853,0.670715379,0.357091408,0.61531032,0.757574376,1.208115052,0.649934248,0.710059305,NA
3934,0.276818804,0.267439338,0.370001462,0.29617418,0.306140265,0.47491296,0.243435087,0.340656351,0.232948721,0.309420441,0.653983848,0.517893217,0.29617418,0.296611988,0.225768209,0.267439338,0.445836202,0.647582438,0.316291,0.347782795,NA
3936,0.134420374,0.129428949,0.15698489,0.15412631,0.15412631,0.374547659,0.119919027,0.171955985,0.348177086,0.17180788,0.454606411,0.260666973,0.152241521,0.238571601,0.105327445,0.132738751,0.224789784,0.490854965,0.161856706,0.186924692,NA
3938,0.391619792,0.374453398,0.502903742,0.419635777,0.419635777,0.683639526,0.347646982,0.455376806,0.529244231,0.587679839,0.720051252,0.579639585,0.412575454,0.579792146,0.323745463,0.384718371,0.58665961,0.767419206,0.433852797,0.469824459,NA
3941,0.176108697,0.182522897,0.19247697,0.189117089,0.191355359,0.375295925,0.150354044,0.21979394,0.448715565,0.246718098,0.392546183,0.242847455,0.193613794,0.331664529,0.124481036,0.180364896,0.221421593,0.552371218,0.207589418,0.229922711,NA
3942,0.043489861,0.045666856,0.061010527,0.047947364,0.048731287,0.204604477,0.035151668,0.05913475,0.091775913,0.027551702,0.249423279,0.122907122,0.049527359,0.03176232,0.019469105,0.044929902,0.069709999,0.131399974,0.054568374,0.063043228,NA
3943,0.410012456,0.399510808,0.514783148,0.431254659,0.441976572,0.696732772,0.371977258,0.478053043,0.555462142,0.597171035,0.728779496,0.605144806,0.431254659,0.594833852,0.347293507,0.399510808,0.598136873,0.776183383,0.452752851,0.485308152,NA
3945,0.08964529,0.0995949,0.102897057,0.102231365,0.102231365,0.194607981,0.085013941,0.122469021,0.186449099,0.063366065,0.273196941,0.145175496,0.100905488,0.086545279,0.063171918,0.098299472,0.112895762,0.376987854,0.111951163,0.130493289,NA
3958,0.425519262,0.442950711,0.456186343,0.474620539,0.498138064,1.409892815,0.416986291,0.532289866,0.977771584,0.733229793,0.932501796,0.652959276,0.479264764,0.518990433,0.335036083,0.465421672,0.701517647,1.098708394,0.474620539,0.55753728,NA
3962,0.383889367,0.401210895,0.487500498,0.404706544,0.397725267,0.612641031,0.343568487,0.450908036,0.542826529,0.541191707,0.705561039,0.592886349,0.411726591,0.582174575,0.313521819,0.397725267,0.56451088,0.756445133,0.42587228,0.454508018,NA
3963,0.506189521,0.547356779,0.725332367,0.557992347,0.557992347,1.030109658,0.486433169,0.636247829,0.603521565,0.658363419,1.460496079,0.576754948,0.552657425,0.464646401,0.472128641,0.542090449,0.74185195,1.097370489,0.596292281,0.665784325,NA
3967,0.348551017,0.363021887,0.422838257,0.388939274,0.407853693,0.644866001,0.341417072,0.434787052,0.517601274,0.639034972,0.510131569,0.591065313,0.392697472,0.600397264,0.354903432,0.381462735,0.544659674,0.750163727,0.388939274,0.45427355,NA
3969,0.355046888,0.384464034,0.46966607,0.391962121,0.391962121,0.662315322,0.340723871,0.445696564,0.454643689,0.519290386,0.69386063,0.590319574,0.388206461,0.603440605,0.305416318,0.380735232,0.528541203,0.721312985,0.418587891,0.46526952,NA
3972,0.295055084,0.345590686,0.375227188,0.342312032,0.339048367,0.529362868,0.310387633,0.365563303,0.516983985,0.605500845,0.451075337,0.417174837,0.352191978,0.554959823,0.299978253,0.342312032,0.422959417,0.726479404,0.348884085,0.399872051,NA
3973,0.400404673,0.413217113,0.401086666,0.435914167,0.45229823,0.759865397,0.394048007,0.475402748,0.690525404,0.691282377,0.594130919,0.492664087,0.439180976,0.566246631,0.394789329,0.429397483,0.540927119,0.812151537,0.435914167,0.491976541,NA
3986,0.417250372,0.407600351,0.448960675,0.436734682,0.446554518,0.698347414,0.382231021,0.479546933,0.491272654,0.523903697,0.703872718,0.425308115,0.436734682,0.381340584,0.352120904,0.407600351,0.485728627,0.805905265,0.456416238,0.486176227,NA
3987,0.399296793,0.426071671,0.508867992,0.429936221,0.426071671,0.682879091,0.36942587,0.465046812,0.485869787,0.578407796,0.715025678,0.623976639,0.429936221,0.625659406,0.336158242,0.414533861,0.563520936,0.746018505,0.437690537,0.476845464,NA
3990,0.280553185,0.297475698,0.390385795,0.300952533,0.294029743,0.629959529,0.243021548,0.348987345,0.484207262,0.450743176,0.616291525,0.388595321,0.307999123,0.318926974,0.191914996,0.294029743,0.420413841,0.701830936,0.322465664,0.352901815,NA
3991,0.435694663,0.452077088,0.420143139,0.455367242,0.448791117,0.780619471,0.397008271,0.498389866,0.709839504,0.678811129,0.605525829,0.515665415,0.461958968,0.575782585,0.360283184,0.448791117,0.540705423,0.808448009,0.47518011,0.501708449,NA
3992,0.486818756,0.496771532,0.51910647,0.506726866,0.510044516,0.85111375,0.443911028,0.549704305,0.697508305,0.648867181,0.824838867,0.652118011,0.513361281,0.587888849,0.421865223,0.493453266,0.674304464,0.841749963,0.533226993,0.562809841,NA
