Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
1250,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1284,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1287,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1297,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1301,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,NA
1304,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1310,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1318,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1319,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1322,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1323,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,NA
1324,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1325,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1326,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1327,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1328,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1329,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1331,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1332,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
1335,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1337,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
1338,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1339,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1341,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1343,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1417,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
1437,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
1465,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,NA
2369,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
2370,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
2371,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2372,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2373,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
2374,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2375,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
2376,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2379,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2380,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2381,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
2382,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2383,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2385,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2392,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
2410,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
2438,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2507,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
2721,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2722,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2867,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2912,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2964,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2966,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2992,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2999,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
3000,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3020,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3024,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
3043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA
3046,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
3052,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,NA
3397,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3399,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3433,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3450,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3452,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3457,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
3468,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3503,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3504,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3539,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3541,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3542,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3545,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
